code,proname,qty,cost,rate,thb_price,price
ຄໍເກດເກືອເອັກຕຣ້າເຟດ 150ກັມ  6ກ່ອງ,8.85001E+12,,,,,178000
ຄໍເລດດັ້ງເດີມມິ້ນ,8.85034E+12,,,,,5000
ຄໍເລດດັ້ງເດີມມິ້ນ 20ແທ່ງ,8.85034E+12,,,,,60000
ຄໍເລດເຄຍມິ້ນ,8.85034E+12,,,,,5000
ຄໍເລດເຄຍມິ້ນ 20ແທ່ງ,8.85034E+12,,,,,60000
ງາຂາວ,8.85905E+12,,,,,45000
ຈວຍຄູກກີ້,8.88501E+12,,,,,10000
ຈວຍດຳ,ຈວຍດຳ,,,,,4000
ຈວຍບົວ,8.85971E+12,,,,,4000
ຈວຍຟ້າ,8.85971E+12,,,,,4000
ຈວຍສະຕໍດີດີ,6.94233E+12,,,,,5000
ຈວຍເຫຼືອງ,8.85971E+12,,,,,4000
ຈອກ 22 ອອນ,8.8588E+12,,,,,23000
ຈອກ 28 ອອນ,8.85909E+12,,,,,36000
