code,proname,qty,rate,thb_price,price
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ2ກ່ອງ,8851932371346,,,,93000
ຄີມອາບນ້ຳລັກສີສົ້ມແບບຕຸກໃຫຍ່ 450ມລ8 ແພັກ,13621,,,,724000
ຄີມອາບນ້ຳຫມາກພ້າວ400ມລ,6976068957010,,,,30000
ຄີມອາບນ້ຳຫວ່ານຫາງສຈະເຂ້400ມລ,6941349361015,,,,30000
ຄີມອາບນ້ຳອາໂວກາໂດ້400ມລ,6976068957003,,,,30000
ຄີມອາບນ້ຳໂພເທັກ450ມລ,8850006602744,,,,53000
ຄີມອາບນ້ຳໂພເທັກດຳ 450ມລ,8850006603529,,,,53000
ຄີມອາບນ້ຳໂພເທັກບົວ 450ມລ,26686,,,,53000
ຄີມອາບນ້ຳໂພເທັກມ່ວງ 450ມລ,8850006939109,,,,53000
ຄີມອາບນ້ຳໂພເທັກເຫຼືອງ 450ມລ,8850006602768,,,,53000
ຄີມອາບບນ້ຳເດັກໂຄໂດໂມະ100ມລ,8850002027145,,,,23000
ໂຄໂດໂມະ ສີມ່ວງ 200 ມລ,8850002031463,,,,35000
ຄີມອາບບນ້ຳເດັກໂຄໂດໂມະ400ມລ,8850002031715,,,,66000
ຄີມເອັມເກົ້າຂຽວ,13839,,,,36000
ຄີມເອັມເກົ້າບົວ,13840,,,,36000
ຄີມເອັມເກົ້າເຫຼືອງ,13841,,,,36000
ຄີມໂກເນ່,8857121333171,,,,25000
ຄີມໂກເນ່ 6 ກັບ,27615,,,,120000
ຄີມໂສມງານ,13842,,,,115000
ຄີມໄຂ່ມຸກຂີ້ມີິ້ນ,8850002123441,,,,30000
ຄີມໄຂ່ມູກຂອງແທ້,8850002123410,,,,55000
ຄີມໄຂ່ມູກຂອງແທ້ 12 ກັບ,8850002123403,,,,595000
ຄີໂອຟ້າ 2 ບາດ 24ຖົງ,8850309205932,,,,27000
ຄຸກກີ້ຈວຍ 100ມລ,8885013131956,,,,10000
ຄົວທິບ,8858839619106,,,,38000
,8850006202012,,,,32000
ຄໍເກດຂຽວມິ້ນ 150ກັມ  6ກ່ອງ,8850006911433,,,,175000
ຄໍເກດດັ້ງເດີມ 6 ກ່ອງ,8850006911440,,,,152000
ຄໍເກດຟ້າ 150ກັມ,8850006232019,,,,32000
ຄໍເກດຣິວໃສເຢັນສົດຊື່ນ 150ກັມ,8850006272015,,,,32000
ຄໍເກດຣິວໃສເຢັນສົດຊື່ນ 150ກັມ  6ກ່ອງ,8850006911556,,,,185000
ຄໍເກດເກືອ 6ກ່ອງ,8850006917060,,,,178000
ຄໍເກດເກືອຖ່ານຊາໂຄ 150ກັມ,8850006341544,,,,35000
ຄໍເກດເກືອຖ່ານຊາໂຄ 150ກັມ  6ກ່ອງ,8850006925058,,,,195000
ຄໍເກດເກືອສະໝຸນໄພ 150ກັມ,8850006322482,,,,35000
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ,8850006322512,,,,10000
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ,8850006274019,,,,8500
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ  12ກ່ອງ,8850006917183,,,,95000
ຄໍເກດເກືອສະໝຸນໄພ 35ກັມ  12ກ່ອງ,8850006911570,,,,80000
ຄໍເກດເກືອເອັກຕຣ້າເຟດ 150ກັມ  6ກ່ອງ,8850006324776,,,,178000
ຄໍເກດເກືອເອັກຕຣ້າເຟດ 150ກັມ  6ກ່ອງ,8850006324776,,,,178000
ຄໍເລດດັ້ງເດີມມິ້ນ,8850338002311,,,,5000
ຄໍເລດດັ້ງເດີມມິ້ນ 20ແທ່ງ,8850338033490,,,,60000
ຄໍເລດເຄຍມິ້ນ,8850338002922,,,,5000
ຄໍເລດເຄຍມິ້ນ 20ແທ່ງ,8850338033469,,,,60000
ງາຂາວ,8859049805181,,,,45000
ຈວຍຄູກກີ້,8885013131895,,,,10000
ຈວຍດຳ,ຈວຍດຳ,,,,4000
ຈວຍບົວ,8859708300101,,,,4000
ຈວຍຟ້າ,8859708300071,,,,4000
ຈວຍສະຕໍດີດີ,6942331200589,,,,5000
ຈວຍເຫຼືອງ,8859708300132,,,,4000
ຈອກ 22 ອອນ,8858802803839,,,,23000
ຈອກ 28 ອອນ,8859094605514,,,,36000
ຈອກ 32 ອອນ,8858802806878,,,,50000
ຈອກ 7 ອອນ,8855051160331,,,,30000
ຈອຍມາສເມໂລຄັບ 12 ອັນ,8850203364698,,,,37000
